track_id,dsp_id,week_id,streams,revenue
1,1,1,25054,100.2160
1,1,2,18957,75.8280
1,1,3,25483,101.9320
1,1,4,19543,78.1720
1,1,5,18985,75.9400
1,1,6,15451,61.8040
1,1,7,23791,95.1640
1,1,8,14261,57.0440
1,1,9,20735,82.9400
1,1,10,20064,80.2560
1,1,11,20691,82.7640
1,1,12,14951,59.8040
1,1,13,20489,81.9560
1,1,14,18036,72.1440
1,1,15,13797,55.1880
1,1,16,21457,85.8280
1,1,17,19681,78.7240
1,1,18,21590,86.3600
1,1,19,21056,84.2240
1,1,20,12398,49.5920
1,1,21,12355,49.4200
1,1,22,15469,61.8760
1,1,23,20444,81.7760
1,1,24,11510,46.0400
1,1,25,12261,49.0440
1,1,26,15214,60.8560
1,1,27,13287,53.1480
1,1,28,14451,57.8040
1,1,29,17547,70.1880
1,1,30,16407,65.6280
1,1,31,13003,52.0120
1,1,32,12227,48.9080
1,1,33,13566,54.2640
1,1,34,10524,42.0960
1,1,35,15736,62.9440
1,1,36,11136,44.5440
1,1,37,11230,44.9200
1,1,38,11303,45.2120
1,1,39,15211,60.8440
1,1,40,15873,63.4920
1,1,41,14553,58.2120
1,1,42,8808,35.2320
1,1,43,10737,42.9480
1,1,44,14862,59.4480
1,1,45,14694,58.7760
1,1,46,8018,32.0720
1,1,47,13429,53.7160
1,1,48,10994,43.9760
1,1,49,10272,41.0880
1,1,50,7584,30.3360
1,1,51,7426,29.7040
1,1,52,12741,50.9640
1,1,53,12089,48.3560
1,1,54,12057,48.2280
1,1,55,8223,32.8920
1,1,56,10867,43.4680
1,1,57,10446,41.7840
1,1,58,8889,35.5560
1,1,59,11228,44.9120
1,1,60,9072,36.2880
1,1,61,8837,35.3480
1,1,62,11455,45.8200
1,1,63,6640,26.5600
1,1,64,9560,38.2400
1,1,65,7139,28.5560
1,1,66,8436,33.7440
1,1,67,7670,30.6800
1,1,68,7277,29.1080
1,1,69,8950,35.8000
1,1,70,7490,29.9600
1,1,71,7801,31.2040
1,1,72,6016,24.0640
1,1,73,6144,24.5760
1,1,74,5546,22.1840
1,1,75,5736,22.9440
1,1,76,6483,25.9320
1,1,77,8823,35.2920
1,1,78,6724,26.8960
1,1,79,6243,24.9720
1,1,80,4839,19.3560
1,1,81,5489,21.9560
1,1,82,7181,28.7240
1,1,83,7171,28.6840
1,1,84,6556,26.2240
1,1,85,5070,20.2800
1,1,86,6526,26.1040
1,1,87,7442,29.7680
1,1,88,7308,29.2320
1,1,89,5756,23.0240
1,1,90,5376,21.5040
1,1,91,5589,22.3560
1,1,92,6094,24.3760
1,1,93,5846,23.3840
1,1,94,6903,27.6120
1,1,95,5180,20.7200
1,1,96,6512,26.0480
1,1,97,3902,15.6080
1,1,98,4883,19.5320
1,1,99,4844,19.3760
1,1,100,4083,16.3320
1,1,101,5531,22.1240
1,1,102,5464,21.8560
1,1,103,3830,15.3200
1,1,104,3559,14.2360
1,2,1,6895,55.1600
1,2,2,5584,44.6720
1,2,3,8395,67.1600
1,2,4,7624,60.9920
1,2,5,8309,66.4720
1,2,6,7455,59.6400
1,2,7,7851,62.8080
1,2,8,5961,47.6880
1,2,9,8137,65.0960
1,2,10,4598,36.7840
1,2,11,7892,63.1360
1,2,12,6951,55.6080
1,2,13,5760,46.0800
1,2,14,6687,53.4960
1,2,15,5272,42.1760
1,2,16,6168,49.3440
1,2,17,7376,59.0080
1,2,18,5024,40.1920
1,2,19,6896,55.1680
1,2,20,5458,43.6640
1,2,21,5594,44.7520
1,2,22,6351,50.8080
1,2,23,5998,47.9840
1,2,24,5809,46.4720
1,2,25,4691,37.5280
1,2,26,3996,31.9680
1,2,27,3750,30.0000
1,2,28,4580,36.6400
1,2,29,4382,35.0560
1,2,30,4034,32.2720
1,2,31,4719,37.7520
1,2,32,3795,30.3600
1,2,33,5604,44.8320
1,2,34,4521,36.1680
1,2,35,4242,33.9360
1,2,36,4780,38.2400
1,2,37,3330,26.6400
1,2,38,3212,25.6960
1,2,39,4181,33.4480
1,2,40,3525,28.2000
1,2,41,3265,26.1200
1,2,42,4998,39.9840
1,2,43,3114,24.9120
1,2,44,4231,33.8480
1,2,45,4839,38.7120
1,2,46,3778,30.2240
1,2,47,2674,21.3920
1,2,48,4146,33.1680
1,2,49,3040,24.3200
1,2,50,4241,33.9280
1,2,51,4239,33.9120
1,2,52,3930,31.4400
1,2,53,3651,29.2080
1,2,54,3755,30.0400
1,2,55,4113,32.9040
1,2,56,3128,25.0240
1,2,57,2654,21.2320
1,2,58,3439,27.5120
1,2,59,3551,28.4080
1,2,60,2815,22.5200
1,2,61,2963,23.7040
1,2,62,2916,23.3280
1,2,63,3499,27.9920
1,2,64,2213,17.7040
1,2,65,2628,21.0240
1,2,66,2871,22.9680
1,2,67,2455,19.6400
1,2,68,2181,17.4480
1,2,69,2633,21.0640
1,2,70,2422,19.3760
1,2,71,2594,20.7520
1,2,72,2679,21.4320
1,2,73,3038,24.3040
1,2,74,2279,18.2320
1,2,75,2291,18.3280
1,2,76,2839,22.7120
1,2,77,1716,13.7280
1,2,78,2383,19.0640
1,2,79,2742,21.9360
1,2,80,1982,15.8560
1,2,81,1527,12.2160
1,2,82,2581,20.6480
1,2,83,2356,18.8480
1,2,84,1467,11.7360
1,2,85,1616,12.9280
1,2,86,2082,16.6560
1,2,87,2081,16.6480
1,2,88,1883,15.0640
1,2,89,2027,16.2160
1,2,90,1886,15.0880
1,2,91,2111,16.8880
1,2,92,2032,16.2560
1,2,93,1411,11.2880
1,2,94,1614,12.9120
1,2,95,2105,16.8400
1,2,96,1334,10.6720
1,2,97,1847,14.7760
1,2,98,2058,16.4640
1,2,99,1894,15.1520
1,2,100,2057,16.4560
1,2,101,1410,11.2800
1,2,102,1687,13.4960
1,2,103,1835,14.6800
1,2,104,1912,15.2960
1,3,1,4318,9.0678
1,3,2,4278,8.9838
1,3,3,4987,10.4727
1,3,4,4626,9.7146
1,3,5,4554,9.5634
1,3,6,3959,8.3139
1,3,7,3036,6.3756
1,3,8,3392,7.1232
1,3,9,4417,9.2757
1,3,10,3216,6.7536
1,3,11,3483,7.3143
1,3,12,3705,7.7805
1,3,13,2899,6.0879
1,3,14,3302,6.9342
1,3,15,3613,7.5873
1,3,16,4027,8.4567
1,3,17,2603,5.4663
1,3,18,2878,6.0438
1,3,19,4156,8.7276
1,3,20,3956,8.3076
1,3,21,3454,7.2534
1,3,22,3393,7.1253
1,3,23,4004,8.4084
1,3,24,3166,6.6486
1,3,25,3241,6.8061
1,3,26,3562,7.4802
1,3,27,2834,5.9514
1,3,28,3014,6.3294
1,3,29,3196,6.7116
1,3,30,3492,7.3332
1,3,31,2718,5.7078
1,3,32,3513,7.3773
1,3,33,2526,5.3046
1,3,34,2198,4.6158
1,3,35,2652,5.5692
1,3,36,2994,6.2874
1,3,37,2043,4.2903
1,3,38,1926,4.0446
1,3,39,2661,5.5881
1,3,40,2942,6.1782
1,3,41,1790,3.7590
1,3,42,2516,5.2836
1,3,43,1908,4.0068
1,3,44,2779,5.8359
1,3,45,2049,4.3029
1,3,46,2341,4.9161
1,3,47,2640,5.5440
1,3,48,2546,5.3466
1,3,49,2769,5.8149
1,3,50,2475,5.1975
1,3,51,2503,5.2563
1,3,52,2265,4.7565
1,3,53,2037,4.2777
1,3,54,2159,4.5339
1,3,55,2400,5.0400
1,3,56,2397,5.0337
1,3,57,1563,3.2823
1,3,58,2098,4.4058
1,3,59,2069,4.3449
1,3,60,1838,3.8598
1,3,61,2011,4.2231
1,3,62,1794,3.7674
1,3,63,2021,4.2441
1,3,64,1560,3.2760
1,3,65,2145,4.5045
1,3,66,1642,3.4482
1,3,67,1608,3.3768
