artist_id,platform_id,month_id,followers,avg_engagement_rate
1,1,1,326460,0.0800
1,1,2,329725,0.0578
1,1,3,332989,0.0636
1,1,4,336254,0.0420
1,1,5,339519,0.0506
1,1,6,342783,0.0526
1,1,7,346048,0.0481
1,1,8,349312,0.0231
1,1,9,352577,0.0544
1,1,10,355842,0.0294
1,1,11,359106,0.0486
1,1,12,362371,0.0218
1,1,13,365635,0.0130
1,1,14,368900,0.0538
1,1,15,372165,0.0157
1,1,16,375429,0.0154
1,1,17,378694,0.0613
1,1,18,381958,0.0542
1,1,19,385223,0.0625
1,1,20,388488,0.0616
1,1,21,391752,0.0135
1,1,22,395017,0.0511
1,1,23,398281,0.0416
1,1,24,401546,0.0776
1,2,1,217640,0.0627
1,2,2,219817,0.0343
1,2,3,221993,0.0286
1,2,4,224169,0.0409
1,2,5,226346,0.0481
1,2,6,228522,0.0776
1,2,7,230699,0.0244
1,2,8,232875,0.0364
1,2,9,235051,0.0292
1,2,10,237228,0.0210
1,2,11,239404,0.0694
1,2,12,241581,0.0636
1,2,13,243757,0.0365
1,2,14,245933,0.0301
1,2,15,248110,0.0233
1,2,16,250286,0.0425
1,2,17,252463,0.0258
1,2,18,254639,0.0427
1,2,19,256815,0.0455
1,2,20,258992,0.0751
1,2,21,261168,0.0270
1,2,22,263345,0.0423
1,2,23,265521,0.0766
1,2,24,267697,0.0617
1,3,1,145093,0.0638
1,3,2,146544,0.0584
1,3,3,147995,0.0121
1,3,4,149446,0.0685
1,3,5,150897,0.0788
1,3,6,152348,0.0102
1,3,7,153799,0.0377
1,3,8,155250,0.0329
1,3,9,156701,0.0428
1,3,10,158152,0.0768
1,3,11,159603,0.0514
1,3,12,161054,0.0324
1,3,13,162505,0.0636
1,3,14,163956,0.0493
1,3,15,165407,0.0592
1,3,16,166857,0.0165
1,3,17,168308,0.0751
1,3,18,169759,0.0410
1,3,19,171210,0.0298
1,3,20,172661,0.0409
1,3,21,174112,0.0144
1,3,22,175563,0.0481
1,3,23,177014,0.0382
1,3,24,178465,0.0658
1,4,1,90683,0.0506
1,4,2,91590,0.0390
1,4,3,92497,0.0348
1,4,4,93404,0.0698
1,4,5,94311,0.0297
1,4,6,95218,0.0182
1,4,7,96124,0.0351
1,4,8,97031,0.0454
1,4,9,97938,0.0463
1,4,10,98845,0.0310
1,4,11,99752,0.0387
1,4,12,100659,0.0311
1,4,13,101565,0.0586
1,4,14,102472,0.0762
1,4,15,103379,0.0763
1,4,16,104286,0.0151
1,4,17,105193,0.0781
1,4,18,106100,0.0669
1,4,19,107006,0.0727
1,4,20,107913,0.0390
1,4,21,108820,0.0510
1,4,22,109727,0.0336
1,4,23,110634,0.0211
1,4,24,111541,0.0638
2,1,1,410449,0.0418
2,1,2,414554,0.0327
2,1,3,418658,0.0330
2,1,4,422763,0.0509
2,1,5,426867,0.0143
2,1,6,430972,0.0270
2,1,7,435076,0.0698
2,1,8,439181,0.0592
2,1,9,443285,0.0247
2,1,10,447390,0.0604
2,1,11,451494,0.0528
2,1,12,455599,0.0437
2,1,13,459703,0.0510
2,1,14,463808,0.0189
2,1,15,467912,0.0220
2,1,16,472017,0.0158
2,1,17,476121,0.0371
2,1,18,480225,0.0666
2,1,19,484330,0.0637
2,1,20,488434,0.0553
2,1,21,492539,0.0102
2,1,22,496643,0.0328
2,1,23,500748,0.0746
2,1,24,504852,0.0516
2,2,1,273633,0.0501
2,2,2,276369,0.0113
2,2,3,279105,0.0549
2,2,4,281842,0.0283
2,2,5,284578,0.0274
2,2,6,287314,0.0344
2,2,7,290051,0.0422
2,2,8,292787,0.0698
2,2,9,295523,0.0642
2,2,10,298260,0.0149
2,2,11,300996,0.0535
2,2,12,303732,0.0758
2,2,13,306469,0.0204
2,2,14,309205,0.0498
2,2,15,311941,0.0140
2,2,16,314678,0.0127
2,2,17,317414,0.0723
2,2,18,320150,0.0518
2,2,19,322887,0.0715
2,2,20,325623,0.0737
2,2,21,328359,0.0423
2,2,22,331096,0.0155
2,2,23,333832,0.0780
2,2,24,336568,0.0263
2,3,1,182422,0.0453
2,3,2,184246,0.0187
2,3,3,186070,0.0258
2,3,4,187894,0.0490
2,3,5,189719,0.0142
2,3,6,191543,0.0109
2,3,7,193367,0.0613
2,3,8,195191,0.0217
2,3,9,197016,0.0269
2,3,10,198840,0.0236
2,3,11,200664,0.0292
2,3,12,202488,0.0282
2,3,13,204312,0.0791
2,3,14,206137,0.0421
2,3,15,207961,0.0641
2,3,16,209785,0.0760
2,3,17,211609,0.0305
2,3,18,213434,0.0493
2,3,19,215258,0.0163
2,3,20,217082,0.0527
2,3,21,218906,0.0309
2,3,22,220730,0.0392
2,3,23,222555,0.0160
2,3,24,224379,0.0368
2,4,1,114014,0.0660
2,4,2,115154,0.0496
2,4,3,116294,0.0240
2,4,4,117434,0.0800
2,4,5,118574,0.0487
2,4,6,119714,0.0114
2,4,7,120854,0.0302
2,4,8,121995,0.0290
2,4,9,123135,0.0720
2,4,10,124275,0.0631
2,4,11,125415,0.0456
2,4,12,126555,0.0435
2,4,13,127695,0.0442
2,4,14,128835,0.0515
2,4,15,129976,0.0582
2,4,16,131116,0.0520
2,4,17,132256,0.0655
2,4,18,133396,0.0110
2,4,19,134536,0.0671
2,4,20,135676,0.0324
2,4,21,136816,0.0176
2,4,22,137957,0.0696
2,4,23,139097,0.0462
2,4,24,140237,0.0250
3,1,1,531515,0.0691
3,1,2,536830,0.0379
3,1,3,542145,0.0469
3,1,4,547460,0.0252
3,1,5,552775,0.0766
3,1,6,558090,0.0319
3,1,7,563406,0.0671
3,1,8,568721,0.0356
3,1,9,574036,0.0366
3,1,10,579351,0.0741
3,1,11,584666,0.0408
3,1,12,589981,0.0463
3,1,13,595296,0.0787
3,1,14,600612,0.0593
3,1,15,605927,0.0286
3,1,16,611242,0.0744
3,1,17,616557,0.0414
3,1,18,621872,0.0254
3,1,19,627187,0.0619
3,1,20,632503,0.0154
3,1,21,637818,0.0392
3,1,22,643133,0.0496
3,1,23,648448,0.0771
3,1,24,653763,0.0440
3,2,1,354343,0.0424
3,2,2,357887,0.0256
3,2,3,361430,0.0721
3,2,4,364973,0.0350
3,2,5,368517,0.0329
3,2,6,372060,0.0391
3,2,7,375604,0.0735
3,2,8,379147,0.0712
3,2,9,382691,0.0737
3,2,10,386234,0.0622
3,2,11,389777,0.0711
3,2,12,393321,0.0245
3,2,13,396864,0.0456
3,2,14,400408,0.0568
3,2,15,403951,0.0183
3,2,16,407495,0.0350
3,2,17,411038,0.0295
3,2,18,414581,0.0682
3,2,19,418125,0.0765
3,2,20,421668,0.0453
3,2,21,425212,0.0340
3,2,22,428755,0.0282
3,2,23,432299,0.0489
3,2,24,435842,0.0122
3,3,1,236229,0.0648
3,3,2,238591,0.0742
3,3,3,240953,0.0695
3,3,4,243316,0.0192
3,3,5,245678,0.0645
3,3,6,248040,0.0202
3,3,7,250402,0.0161
3,3,8,252765,0.0288
3,3,9,255127,0.0387
3,3,10,257489,0.0786
3,3,11,259852,0.0132
3,3,12,262214,0.0436
3,3,13,264576,0.0518
3,3,14,266938,0.0259
3,3,15,269301,0.0656
3,3,16,271663,0.0120
3,3,17,274025,0.0135
3,3,18,276388,0.0447
3,3,19,278750,0.0465
3,3,20,281112,0.0300
3,3,21,283475,0.0425
3,3,22,285837,0.0524
3,3,23,288199,0.0734
3,3,24,290561,0.0591
3,4,1,147643,0.0466
3,4,2,149119,0.0743
3,4,3,150596,0.0513
3,4,4,152072,0.0509
3,4,5,153549,0.0737
3,4,6,155025,0.0434
3,4,7,156502,0.0600
3,4,8,157978,0.0607
3,4,9,159454,0.0324
3,4,10,160931,0.0565
3,4,11,162407,0.0528
3,4,12,163884,0.0643
3,4,13,165360,0.0424
3,4,14,166837,0.0193
3,4,15,168313,0.0532
3,4,16,169789,0.0149
3,4,17,171266,0.0390
3,4,18,172742,0.0791
3,4,19,174219,0.0630
3,4,20,175695,0.0744
3,4,21,177172,0.0306
3,4,22,178648,0.0273
3,4,23,180124,0.0699
3,4,24,181601,0.0389
4,1,1,344877,0.0533
4,1,2,348325,0.0682
4,1,3,351774,0.0537
4,1,4,355223,0.0136
4,1,5,358672,0.0289
4,1,6,362121,0.0354
4,1,7,365569,0.0501
4,1,8,369018,0.0360
4,1,9,372467,0.0280
4,1,10,375916,0.0747
4,1,11,379364,0.0427
4,1,12,382813,0.0632
4,1,13,386262,0.0446
4,1,14,389711,0.0211
4,1,15,393159,0.0616
4,1,16,396608,0.0718
4,1,17,400057,0.0386
4,1,18,403506,0.0205
4,1,19,406954,0.0159
4,1,20,410403,0.0419
4,1,21,413852,0.0447
4,1,22,417301,0.0293
4,1,23,420750,0.0344
4,1,24,424198,0.0285
4,2,1,229918,0.0401
4,2,2,232217,0.0472
4,2,3,234516,0.0107
4,2,4,236815,0.0645
4,2,5,239114,0.0637
4,2,6,241414,0.0301
4,2,7,243713,0.0676
4,2,8,246012,0.0108
4,2,9,248311,0.0412
4,2,10,250610,0.0168
4,2,11,252910,0.0636
4,2,12,255209,0.0193
4,2,13,257508,0.0184
4,2,14,259807,0.0497
4,2,15,262106,0.0762
4,2,16,264405,0.0572
4,2,17,266705,0.0334
4,2,18,269004,0.0603
4,2,19,271303,0.0629
4,2,20,273602,0.0293
4,2,21,275901,0.0676
4,2,22,278201,0.0695
4,2,23,280500,0.0633
4,2,24,282799,0.0629
4,3,1,153279,0.0304
4,3,2,154811,0.0214
4,3,3,156344,0.0227
4,3,4,157877,0.0619
4,3,5,159410,0.0118
4,3,6,160942,0.0341
4,3,7,162475,0.0377
4,3,8,164008,0.0760
4,3,9,165541,0.0420
4,3,10,167074,0.0600
4,3,11,168606,0.0400
4,3,12,170139,0.0369
4,3,13,171672,0.0181
4,3,14,173205,0.0355
4,3,15,174738,0.0461
4,3,16,176270,0.0604
4,3,17,177803,0.0415
4,3,18,179336,0.0201
4,3,19,180869,0.0465
4,3,20,182401,0.0107
4,3,21,183934,0.0539
4,3,22,185467,0.0394
4,3,23,187000,0.0631
4,3,24,188533,0.0790
4,4,1,95799,0.0219
4,4,2,96757,0.0255
4,4,3,97715,0.0713
4,4,4,98673,0.0359
4,4,5,99631,0.0678
4,4,6,100589,0.0702
4,4,7,101547,0.0457
4,4,8,102505,0.0576
4,4,9,103463,0.0764
4,4,10,104421,0.0296
4,4,11,105379,0.0689
4,4,12,106337,0.0467
4,4,13,107295,0.0255
4,4,14,108253,0.0182
4,4,15,109211,0.0618
4,4,16,110169,0.0506
4,4,17,111127,0.0273
4,4,18,112085,0.0498
4,4,19,113043,0.0340
4,4,20,114001,0.0256
4,4,21,114959,0.0567
4,4,22,115917,0.0486
4,4,23,116875,0.0457
4,4,24,117833,0.0563
5,1,1,128489,0.0747
5,1,2,129774,0.0156
5,1,3,131059,0.0501
5,1,4,132344,0.0667
5,1,5,133629,0.0466
5,1,6,134914,0.0676
5,1,7,136199,0.0157
5,1,8,137484,0.0646
5,1,9,138769,0.0138
5,1,10,140054,0.0324
5,1,11,141338,0.0478
5,1,12,142623,0.0187
5,1,13,143908,0.0178
5,1,14,145193,0.0431
5,1,15,146478,0.0749
5,1,16,147763,0.0754
5,1,17,149048,0.0571
5,1,18,150333,0.0772
5,1,19,151618,0.0598
5,1,20,152902,0.0681
5,1,21,154187,0.0375
5,1,22,155472,0.0385
5,1,23,156757,0.0225
5,1,24,158042,0.0780
5,2,1,85660,0.0709
5,2,2,86516,0.0507
5,2,3,87373,0.0276
5,2,4,88229,0.0461
5,2,5,89086,0.0324
5,2,6,89943,0.0740
5,2,7,90799,0.0205
5,2,8,91656,0.0708
5,2,9,92512,0.0773
5,2,10,93369,0.0256
5,2,11,94226,0.0373
5,2,12,95082,0.0120
5,2,13,95939,0.0701
5,2,14,96795,0.0301
5,2,15,97652,0.0193
5,2,16,98509,0.0753
5,2,17,99365,0.0132
5,2,18,100222,0.0668
5,2,19,101078,0.0291
5,2,20,101935,0.0531
5,2,21,102792,0.0548
5,2,22,103648,0.0574
5,2,23,104505,0.0433
5,2,24,105361,0.0345
5,3,1,57106,0.0503
5,3,2,57678,0.0566
5,3,3,58249,0.0477
5,3,4,58820,0.0206
5,3,5,59391,0.0119
5,3,6,59962,0.0171
5,3,7,60533,0.0452
5,3,8,61104,0.0104
5,3,9,61675,0.0552
5,3,10,62246,0.0208
5,3,11,62817,0.0328
5,3,12,63388,0.0640
5,3,13,63959,0.0768
5,3,14,64530,0.0114
5,3,15,65101,0.0720
5,3,16,65672,0.0702
5,3,17,66243,0.0247
5,3,18,66815,0.0222
5,3,19,67386,0.0261
5,3,20,67957,0.0512
5,3,21,68528,0.0114
5,3,22,69099,0.0213
5,3,23,69670,0.0690
5,3,24,70241,0.0687
5,4,1,35692,0.0288
5,4,2,36048,0.0509
5,4,3,36405,0.0758
5,4,4,36762,0.0244
5,4,5,37119,0.0225
5,4,6,37476,0.0636
5,4,7,37833,0.0146
5,4,8,38190,0.0394
5,4,9,38547,0.0340
5,4,10,38904,0.0173
5,4,11,39261,0.0422
5,4,12,39618,0.0640
5,4,13,39975,0.0238
5,4,14,40331,0.0264
5,4,15,40688,0.0118
5,4,16,41045,0.0451
