track_id,territory_id,month_id,streams
1,2,1,114584
1,2,2,103865
1,2,3,105432
1,2,4,112125
1,2,5,80408
1,2,6,112132
1,2,7,92274
1,2,8,110752
1,2,9,109045
1,2,10,101721
1,2,11,91612
1,2,12,96023
1,2,13,106929
1,2,14,74939
1,2,15,69196
1,2,16,70498
1,2,17,60087
1,2,18,58219
1,2,19,86923
1,2,20,65779
1,2,21,76889
1,2,22,76036
1,2,23,47256
1,2,24,50550
1,9,1,53065
1,9,2,47817
1,9,3,40942
1,9,4,49722
1,9,5,31862
1,9,6,42838
1,9,7,33746
1,9,8,32003
1,9,9,39891
1,9,10,38521
1,9,11,41442
1,9,12,26087
1,9,13,41481
1,9,14,31754
1,9,15,24643
1,9,16,34985
1,9,17,35957
1,9,18,28907
1,9,19,34525
1,9,20,34999
1,9,21,29097
1,9,22,30110
1,9,23,23880
1,9,24,18761
1,18,1,87840
1,18,2,49486
1,18,3,50178
1,18,4,63393
1,18,5,46073
1,18,6,52525
1,18,7,44280
1,18,8,53158
1,18,9,70156
1,18,10,61817
1,18,11,44052
1,18,12,50100
1,18,13,35299
1,18,14,39727
1,18,15,51575
1,18,16,51012
1,18,17,38072
1,18,18,52754
1,18,19,46791
1,18,20,33342
1,18,21,30022
1,18,22,44457
1,18,23,38947
1,18,24,40620
2,1,4,54980
2,1,5,40853
2,1,6,38183
2,1,7,38617
2,1,8,31902
2,1,9,29772
2,1,10,36783
2,1,11,33195
2,1,12,33284
2,1,13,42172
2,1,14,42284
2,1,15,26304
2,1,16,28144
2,1,17,36165
2,1,18,23328
2,1,19,37601
2,1,20,34656
2,1,21,31748
2,1,22,28344
2,1,23,29538
2,1,24,22207
2,2,4,130046
2,2,5,135838
2,2,6,129519
2,2,7,141037
2,2,8,98187
2,2,9,90274
2,2,10,91649
2,2,11,77518
2,2,12,74465
2,2,13,74625
2,2,14,94317
2,2,15,91596
2,2,16,65367
2,2,17,57962
2,2,18,102146
2,2,19,98465
2,2,20,94965
2,2,21,77018
2,2,22,64447
2,2,23,77774
2,2,24,77031
2,7,4,83060
2,7,5,63410
2,7,6,74188
2,7,7,58115
2,7,8,68544
2,7,9,53131
2,7,10,74469
2,7,11,54880
2,7,12,63472
2,7,13,50471
2,7,14,38506
2,7,15,65449
2,7,16,61853
2,7,17,48545
2,7,18,57504
2,7,19,57831
2,7,20,47236
2,7,21,39497
2,7,22,30869
2,7,23,36162
2,7,24,47465
3,2,15,87334
3,2,16,99737
3,2,17,107306
3,2,18,94377
3,2,19,136762
3,2,20,125740
3,2,21,116742
3,2,22,87425
3,2,23,82611
3,2,24,103071
3,11,15,82938
3,11,16,73550
3,11,17,76967
3,11,18,59428
3,11,19,82641
3,11,20,75508
3,11,21,69967
3,11,22,75754
3,11,23,41771
3,11,24,52963
3,20,15,58182
3,20,16,41320
3,20,17,47036
3,20,18,43954
3,20,19,46316
3,20,20,34789
3,20,21,32315
3,20,22,32214
3,20,23,40681
3,20,24,47085
4,2,1,99416
4,2,2,141366
4,2,3,79804
4,2,4,125143
4,2,5,130900
4,2,6,127379
4,2,7,80945
4,2,8,87655
4,2,9,75257
4,2,10,72726
4,2,11,73166
4,2,12,75296
4,2,13,62427
4,2,14,90871
4,2,15,93123
4,2,16,88870
4,2,17,67429
4,2,18,93144
4,2,19,85178
4,2,20,79117
4,2,21,46399
4,2,22,73584
4,2,23,77600
4,2,24,52368
4,16,1,54459
4,16,2,57315
4,16,3,59653
4,16,4,76255
4,16,5,63895
4,16,6,77303
4,16,7,66662
4,16,8,58126
4,16,9,71167
4,16,10,39832
4,16,11,40292
4,16,12,40537
4,16,13,41154
4,16,14,61955
4,16,15,47786
4,16,16,37916
4,16,17,44825
4,16,18,33199
4,16,19,46601
4,16,20,31034
4,16,21,34241
4,16,22,44347
4,16,23,44871
4,16,24,35829
4,19,1,58877
4,19,2,36874
4,19,3,39630
4,19,4,42204
4,19,5,45810
4,19,6,42826
4,19,7,45468
4,19,8,35325
4,19,9,34004
4,19,10,42669
4,19,11,35729
4,19,12,29388
4,19,13,35186
4,19,14,33561
4,19,15,35855
4,19,16,34168
4,19,17,37061
4,19,18,25184
4,19,19,22569
4,19,20,27685
4,19,21,21021
4,19,22,24451
4,19,23,32112
4,19,24,29043
5,3,1,177524
5,3,2,106005
5,3,3,110930
5,3,4,169214
5,3,5,99704
5,3,6,155983
5,3,7,90055
5,3,8,117138
5,3,9,133329
5,3,10,128731
5,3,11,117721
5,3,12,81073
5,3,13,90631
5,3,14,97220
5,3,15,125440
5,3,16,92082
5,3,17,106410
5,3,18,85785
5,3,19,67240
5,3,20,96004
5,3,21,98295
5,3,22,78015
5,3,23,92704
5,3,24,92709
5,6,1,99058
5,6,2,76694
5,6,3,90060
5,6,4,68821
5,6,5,64173
5,6,6,95217
5,6,7,85689
5,6,8,91471
5,6,9,90026
5,6,10,59070
5,6,11,78471
5,6,12,53965
5,6,13,73181
5,6,14,62505
5,6,15,76113
5,6,16,43760
5,6,17,67418
5,6,18,49979
5,6,19,68441
5,6,20,52359
5,6,21,61529
5,6,22,62202
5,6,23,51705
5,6,24,53519
5,17,1,67825
5,17,2,61058
5,17,3,52645
5,17,4,53010
5,17,5,45861
5,17,6,66220
5,17,7,60592
5,17,8,46073
5,17,9,53892
5,17,10,43398
5,17,11,33826
5,17,12,39625
5,17,13,43607
5,17,14,48521
5,17,15,47563
5,17,16,44990
5,17,17,41631
5,17,18,30247
5,17,19,27643
5,17,20,27248
5,17,21,40893
5,17,22,37251
5,17,23,40137
5,17,24,28055
6,3,12,179972
6,3,13,136050
6,3,14,158735
6,3,15,153829
6,3,16,140588
6,3,17,96360
6,3,18,107468
6,3,19,139424
6,3,20,92411
6,3,21,148045
6,3,22,139359
6,3,23,131744
6,3,24,123572
6,15,12,64226
6,15,13,66531
6,15,14,74065
6,15,15,41525
6,15,16,42108
6,15,17,53311
6,15,18,61161
6,15,19,41214
6,15,20,36327
6,15,21,35016
6,15,22,34754
6,15,23,35054
6,15,24,52802
6,19,12,118075
6,19,13,75262
6,19,14,64616
6,19,15,78083
6,19,16,103277
6,19,17,77204
6,19,18,59498
6,19,19,54780
6,19,20,81814
6,19,21,71169
6,19,22,60250
6,19,23,59860
6,19,24,75768
7,3,7,185770
7,3,8,168179
7,3,9,180251
7,3,10,150789
7,3,11,128925
7,3,12,104567
7,3,13,149720
7,3,14,106894
7,3,15,145713
7,3,16,105736
7,3,17,143923
7,3,18,130645
7,3,19,78173
7,3,20,122920
7,3,21,111349
7,3,22,99747
7,3,23,67196
7,3,24,74330
7,14,7,78714
7,14,8,64213
7,14,9,54331
7,14,10,54747
7,14,11,58906
7,14,12,55434
7,14,13,49195
7,14,14,60508
7,14,15,42678
7,14,16,48477
7,14,17,54523
7,14,18,54094
7,14,19,35193
7,14,20,38565
7,14,21,42047
7,14,22,31493
7,14,23,29011
7,14,24,28570
7,20,7,88375
7,20,8,105693
7,20,9,88800
